Random0,0.99375,0.98281,0.99398,0.9825
Random1,0.97888,0.90805,0.95288,0.91971
Random2,0.9656,0.9614,0.96453,0.93295
Random3,0.96414,0.92728,0.96029,0.93669
Random4,0.97765,0.92668,0.97981,0.94025
Random5,0.93856,0.8748,0.94101,0.88659
Random6,0.96645,0.93671,0.96957,0.95082
Random7,0.9402,0.91351,0.94929,0.9167
Random8,0.99788,0.98783,0.99713,0.98344
Random9,0.96133,0.90642,0.942,0.9142
Random10,0.93775,0.9644,0.99191,0.88347
Random11,0.076527,0.96443,0.9943,0.89069
Random12,0.86539,0.96739,0.99268,0.88457
Random13,0.94611,0.96984,0.9926,0.90217
Random14,0.91878,0.94372,0.95767,0.85832
Random15,0.94751,0.92321,0.98498,0.86131
Random16,0.96917,0.90849,0.987,0.86345
Random17,0.18487,0.86311,0.75698,0.78501
Random18,0.77246,0.91871,0.96164,0.8688
Random19,0.95901,0.88469,0.97533,0.83425
Synthetic,0.99992,0.9978,0.99924,0.995
Overlapping,0.96242,0.99842,0.99964,0.98731
Synth Images,0.83844,0.87814,0.93668,0.92469
Real Images,0.9586,0.9883,0.99377,0.98571
