Operators Used,Vanilla,CSOI,CSOI+RDSM,All,,,,,,
Metric,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$,,
Random0,44.64,91.70,89.23,31.20,98.25,4.80,99.40,0.20,,
Random1,37.07,93.00,83.05,36.60,92.66,10.80,95.29,3.20,,
Random2,40.94,86.90,84.06,31.50,92.39,12.10,96.45,0.40,,
Random3,38.46,92.70,83.29,40.70,93.77,11.10,96.03,2.90,,
Random4,38.34,94.10,83.30,43.70,95.80,8.40,97.98,1.00,,
Random5,33.87,96.60,79.65,44.90,92.52,10.10,94.10,4.80,,
Random6,37.97,92.20,86.86,33.10,94.56,10.20,96.96,1.90,,
Random7,32.90,96.20,82.46,41.30,91.34,16.50,94.93,5.80,,
Random8,44.26,90.90,89.49,31.90,98.44,4.80,99.71,0.00,,
Random9,35.92,94.20,83.36,36.60,91.83,12.00,94.20,3.80,,
Random10,31.61,98.70,79.81,57.00,97.81,5.70,99.19,1.10,,
Random11,30.01,98.60,80.41,56.30,97.06,6.50,99.43,0.30,,
Random12,30.86,98.90,80.88,56.80,95.48,15.00,99.27,2.80,,
Random13,29.15,99.20,80.59,56.40,94.38,16.90,99.26,1.50,,
Random14,29.27,96.10,76.79,60.60,91.15,16.00,95.77,2.90,,
Random15,25.95,99.90,70.22,83.40,98.10,3.80,98.50,2.60,,
Random16,23.91,100.00,69.15,84.60,96.21,8.40,98.70,1.50,,
Random17,21.94,60.30,62.02,44.70,71.10,2.20,75.70,0.30,,
Random18,23.86,99.30,68.35,85.70,90.55,19.80,96.16,5.70,,
Random19,25.99,99.90,67.13,87.70,95.93,10.50,97.53,4.00,,
Synthetic,29.01,91.77,89.15,27.81,99.76,0.61,99.92,0.00,,
Overlapping,38.92,99.90,83.74,48.31,99.82,0.80,99.96,0.10,,
Synth Images,31.06,94.61,87.81,28.71,91.79,8.00,93.67,0.87,,
Real Images,64.21,51.69,95.95,6.88,98.16,1.40,98.83,0.00,,
