0.917,0.048,0.312,0.002
0.93,0.108,0.366,0.032
0.869,0.121,0.315,0.004
0.927,0.111,0.407,0.029
0.941,0.084,0.437,0.01
0.966,0.101,0.449,0.048
0.922,0.102,0.331,0.019
0.962,0.165,0.413,0.058
0.909,0.048,0.319,0
0.942,0.12,0.366,0.038
0.987,0.057,0.57,0.011
0.986,0.065,0.563,0.003
0.989,0.15,0.568,0.028
0.992,0.169,0.564,0.015
0.961,0.16,0.606,0.029
0.999,0.038,0.834,0.026
1,0.084,0.846,0.015
0.603,0.022,0.447,0.003
0.993,0.198,0.857,0.057
0.999,0.105,0.877,0.04
0.9177,0.0060729,0.2781,0
0.999,0.008,0.4831,0.001
0.94605,0.079961,0.28709,0.0086705
0.51686,0.014017,0.068769,0
